Jerzy Dudek
Jan Kromkamp
Steve Finnan
Sami Hyypiä
Daniel Agger
John Arne Riise
Harry Kewell
Steven Gerrard
Djibril Cissé
Luis García
Robbie Fowler
Xabi Alonso
Peter Crouch
Dietmar Hamann
Fernando Morientes
Scott Carson
Djimi Traoré
Mohamed Sissoko
Jamie Carragher
Florent Sinama-Pongolle
Pepe Reina
Stephen Warnock
Boudewijn Zenden
Antonio Barragán
Milan Baroš
Josemi
David Raven
John Welsh
Neil Mellor
Darren Potter
Carl Medjani
Zak Whitbread
Salif Diao
Mark González
Paul Anderson
Besian Idrizaj
Danny Guthrie
David Mannix
David Martin
Robbie Foy
