Jerzy Dudek
Stéphane Henchoz
Steve Finnan
Sami Hyypiä
Milan Baroš
Markus Babbel
Harry Kewell
Emile Heskey
El Hadji Diouf
Michael Owen
Vladimír Šmicer
Danny Murphy
Salif Diao
Dietmar Hamann
Steven Gerrard
John Arne Riise
Anthony Le Tallec
Djimi Traoré
Chris Kirkland
Jamie Carragher
Florent Sinama-Pongolle
Richie Partridge
Grégory Vignal
Bruno Cheyrou
Patrice Luzi
Carl Medjani
Alou Diarra
John Welsh
Neil Mellor
Darren Potter
Stephen Warnock
Jon Otsemobor
Zak Whitbread
Michael Foley-Sheridan
Paul Harrison
Daniel Sjölund
Paul Jones
