Sander Westerveld
Stéphane Henchoz
Rigobert Song
Steve Staunton
Vladimír Šmicer
Emile Heskey
Robbie Fowler
Michael Owen
Jamie Redknapp
Sami Hyypia
Vegard Heggem
Patrik Berger
Dietmar Hamann
Erik Meijer
Brad Friedel
Dominic Matteo
Titi Camara
Jamie Carragher
Danny Murphy
David Thompson
Steven Gerrard
Djimi Traoré
Frode Kippe
Jon Newby
Leyton Maxwell
Bjorn Kvarme
Oyvind Leonhardsen
Karl-Heinz Riedle
Paul Ince
Phil Babb
Stig Inge Bjørnebye
Jørgen Nielsen
Haukur Ingi Guðnason
Stephen Wright
Richie Partridge
Ian Dunbavin
Peter Cavanagh
Neil Murphy
Stephen Warnock
Alan Navarro
John Miles
Chris Thompson
