Jerzy Dudek
Álvaro Arbeloa
Steve Finnan
Sami Hyypiä
Daniel Agger
John Arne Riise
Harry Kewell
Steven Gerrard
Robbie Fowler
Luis García
Mark González
Fábio Aurélio
Xabi Alonso
Peter Crouch
Jermaine Pennant
Craig Bellamy
Dirk Kuyt
Javier Mascherano
Mohamed Sissoko
Jamie Carragher
Florent Sinama-Pongolle
Pepe Reina
Paul Anderson
Stephen Warnock
Gabriel Paletta
Daniele Padelli
Boudewijn Zenden
Miki Roqué
Danny Guthrie
Lee Peltier
Stephen Darby
David Martin
Nabil El Zhar
James Smith
Jack Hobbs
Emiliano Insúa
