Jerzy Dudek
Steve Finnan
Sami Hyypiä
Milan Baroš
John Arne Riise
Harry Kewell
Steven Gerrard
Djibril Cissé
Luis García
Vladimír Šmicer
Mauricio Pellegrino
Anthony Le Tallec
Xabi Alonso
Salif Diao
Dietmar Hamann
Josemi
Antonio Núñez
Fernando Morientes
Scott Carson
Djimi Traoré
Chris Kirkland
Jamie Carragher
Florent Sinama-Pongolle
Richie Partridge
Stephen Warnock
David Raven
John Welsh
Neil Mellor
Darren Potter
Zak Whitbread
Mark Smyth
Stéphane Henchoz
El Hadji Diouf
Patrice Luzi
Jon Otsemobor
Paul Harrison
Robbie Foy
James Smith
Danny Guthrie
David Mannix
